DATE,VALUE
2004-01-02,10409.85
2004-01-05,10544.07
2004-01-06,10538.66
2004-01-07,10529.03
2004-01-08,10592.44
2004-01-09,10458.89
2004-01-12,10485.18
2004-01-13,10427.18
2004-01-14,10538.37
2004-01-15,10553.85
2004-01-16,10600.51
2004-01-20,10528.66
2004-01-21,10623.62
2004-01-22,10623.18
2004-01-23,10568.29
2004-01-26,10702.51
2004-01-27,10609.92
2004-01-28,10468.37
2004-01-29,10510.29
2004-01-30,10488.07
2004-02-02,10499.18
2004-02-03,10505.18
2004-02-04,10470.74
2004-02-05,10495.55
2004-02-06,10593.03
2004-02-09,10579.03
2004-02-10,10613.85
2004-02-11,10737.70
2004-02-12,10694.07
2004-02-13,10627.85
2004-02-17,10714.88
2004-02-18,10671.99
2004-02-19,10664.73
2004-02-20,10619.03
2004-02-23,10609.62
2004-02-24,10566.37
2004-02-25,10601.62
2004-02-26,10580.14
2004-02-27,10583.92
2004-03-01,10678.14
2004-03-02,10591.48
2004-03-03,10593.11
2004-03-04,10588.00
2004-03-05,10595.55
2004-03-08,10529.48
2004-03-09,10456.96
2004-03-10,10296.89
2004-03-11,10128.38
2004-03-12,10240.08
2004-03-15,10102.89
2004-03-16,10184.67
2004-03-17,10300.30
2004-03-18,10295.78
2004-03-19,10186.60
2004-03-22,10064.75
2004-03-23,10063.64
2004-03-24,10048.23
2004-03-25,10218.82
2004-03-26,10212.97
2004-03-29,10329.63
2004-03-30,10381.70
2004-03-31,10357.70
2004-04-01,10373.33
2004-04-02,10470.59
2004-04-05,10558.37
2004-04-06,10570.81
2004-04-07,10480.15
2004-04-08,10442.03
2004-04-12,10515.56
2004-04-13,10381.28
2004-04-14,10377.95
2004-04-15,10397.46
2004-04-16,10451.97
2004-04-19,10437.85
2004-04-20,10314.50
2004-04-21,10317.27
2004-04-22,10461.20
2004-04-23,10472.84
2004-04-26,10444.73
2004-04-27,10478.16
2004-04-28,10342.60
2004-04-29,10272.27
2004-04-30,10225.57
2004-05-03,10314.00
2004-05-04,10317.20
2004-05-05,10310.95
2004-05-06,10241.26
2004-05-07,10117.34
2004-05-10,9990.02
2004-05-11,10019.47
2004-05-12,10045.16
2004-05-13,10010.74
2004-05-14,10012.87
2004-05-17,9906.91
2004-05-18,9968.51
2004-05-19,9937.71
2004-05-20,9937.64
2004-05-21,9966.74
2004-05-24,9958.43
2004-05-25,10117.62
2004-05-26,10109.89
2004-05-27,10205.20
2004-05-28,10188.45
2004-06-01,10202.65
2004-06-02,10262.97
2004-06-03,10195.91
2004-06-04,10242.82
2004-06-07,10391.08
2004-06-08,10432.52
2004-06-09,10368.44
2004-06-10,10410.10
2004-06-14,10334.73
2004-06-15,10380.43
2004-06-16,10379.58
2004-06-17,10377.52
2004-06-18,10416.41
2004-06-21,10371.47
2004-06-22,10395.07
2004-06-23,10479.57
2004-06-24,10443.81
2004-06-25,10371.84
2004-06-28,10357.09
2004-06-29,10413.43
2004-06-30,10435.48
2004-07-01,10334.16
2004-07-02,10282.83
2004-07-06,10219.34
2004-07-07,10240.29
2004-07-08,10171.56
2004-07-09,10213.22
2004-07-12,10238.22
2004-07-13,10247.59
2004-07-14,10208.80
2004-07-15,10163.16
2004-07-16,10139.78
2004-07-19,10094.06
2004-07-20,10149.07
2004-07-21,10046.13
2004-07-22,10050.33
2004-07-23,9962.22
2004-07-26,9961.92
2004-07-27,10085.14
2004-07-28,10117.07
2004-07-29,10129.24
2004-07-30,10139.71
2004-08-02,10179.16
2004-08-03,10120.24
2004-08-04,10126.51
2004-08-05,9963.03
2004-08-06,9815.33
2004-08-09,9814.66
2004-08-10,9944.67
2004-08-11,9938.32
2004-08-12,9814.59
2004-08-13,9825.35
2004-08-16,9954.55
2004-08-17,9972.83
2004-08-18,10083.15
2004-08-19,10040.82
2004-08-20,10110.14
2004-08-23,10073.05
2004-08-24,10098.63
2004-08-25,10181.74
2004-08-26,10173.41
2004-08-27,10195.01
2004-08-30,10122.52
2004-08-31,10173.92
2004-09-01,10168.46
2004-09-02,10290.28
2004-09-03,10260.20
2004-09-07,10342.79
2004-09-08,10313.36
2004-09-09,10289.10
2004-09-10,10313.07
2004-09-13,10314.76
2004-09-14,10318.16
2004-09-15,10231.36
2004-09-16,10244.49
2004-09-17,10284.46
2004-09-20,10204.89
2004-09-21,10244.93
2004-09-22,10109.18
2004-09-23,10038.90
2004-09-24,10047.24
2004-09-27,9988.54
2004-09-28,10077.40
2004-09-29,10136.24
2004-09-30,10080.27
2004-10-01,10192.65
2004-10-04,10216.54
2004-10-05,10177.68
2004-10-06,10239.92
2004-10-07,10125.40
2004-10-08,10055.20
2004-10-11,10081.97
2004-10-12,10077.18
2004-10-13,10002.33
2004-10-14,9894.45
2004-10-15,9933.38
2004-10-18,9956.32
2004-10-19,9897.62
2004-10-20,9886.93
2004-10-21,9865.76
2004-10-22,9757.81
2004-10-25,9749.99
2004-10-26,9888.48
2004-10-27,10002.03
