date,debt
2004-01-10,24
2004-01-17,25
2004-01-24,24
2004-01-31,25
2004-02-07,23
2004-02-14,24
2004-02-21,23
2004-02-28,23
2004-03-06,23
2004-03-13,23
2004-03-20,22
2004-03-27,20
2004-04-03,22
2004-04-10,21
2004-04-17,21
2004-04-24,23
2004-05-01,23
2004-05-08,21
2004-05-15,21
2004-05-22,20
2004-05-29,21
2004-06-05,21
2004-06-12,23
2004-06-19,21
2004-06-26,21
2004-07-03,22
2004-07-10,21
2004-07-17,22
2004-07-24,23
2004-07-31,23
2004-08-07,23
2004-08-14,21
2004-08-21,20
2004-08-28,21
2004-09-04,20
2004-09-11,21
2004-09-18,21
2004-09-25,23
2004-10-02,24
2004-10-09,23
2004-10-16,23
2004-10-23,24
2004-10-30,23
2004-11-06,26
2004-11-13,24
2004-11-20,25
2004-11-27,21
2004-12-04,24
2004-12-11,23
2004-12-18,20
2004-12-25,16
2005-01-01,19
2005-01-08,22
2005-01-15,23
2005-01-22,22
2005-01-29,23
2005-02-05,23
2005-02-12,22
2005-02-19,21
2005-02-26,22
2005-03-05,21
2005-03-12,22
2005-03-19,21
2005-03-26,21
2005-04-02,21
2005-04-09,21
2005-04-16,23
2005-04-23,22
2005-04-30,23
2005-05-07,22
2005-05-14,20
2005-05-21,20
2005-05-28,19
2005-06-04,19
2005-06-11,20
2005-06-18,21
2005-06-25,20
2005-07-02,20
2005-07-09,20
2005-07-16,20
2005-07-23,20
2005-07-30,21
2005-08-06,20
2005-08-13,19
2005-08-20,19
2005-08-27,18
2005-09-03,19
2005-09-10,18
2005-09-17,21
2005-09-24,22
2005-10-01,22
2005-10-08,21
2005-10-15,21
2005-10-22,20
2005-10-29,20
2005-11-05,20
2005-11-12,20
2005-11-19,21
2005-11-26,16
2005-12-03,21
2005-12-10,20
2005-12-17,19
2005-12-24,16
2005-12-31,17
2006-01-07,21
2006-01-14,21
2006-01-21,21
2006-01-28,21
2006-02-04,22
2006-02-11,22
2006-02-18,21
2006-02-25,22
2006-03-04,21
2006-03-11,22
2006-03-18,23
2006-03-25,23
2006-04-01,22
2006-04-08,23
2006-04-15,22
2006-04-22,23
2006-04-29,22
2006-05-06,21
2006-05-13,21
2006-05-20,20
2006-05-27,20
2006-06-03,18
2006-06-10,19
2006-06-17,20
2006-06-24,19
2006-07-01,19
2006-07-08,19
2006-07-15,24
2006-07-22,23
2006-07-29,21
2006-08-05,20
2006-08-12,20
2006-08-19,20
2006-08-26,19
2006-09-02,18
2006-09-09,18
2006-09-16,19
2006-09-23,20
2006-09-30,21
2006-10-07,21
2006-10-14,21
2006-10-21,21
2006-10-28,21
2006-11-04,22
2006-11-11,21
2006-11-18,21
2006-11-25,18
2006-12-02,21
2006-12-09,21
2006-12-16,19
2006-12-23,17
2006-12-30,17
2007-01-06,19
2007-01-13,21
2007-01-20,21
2007-01-27,23
2007-02-03,22
2007-02-10,21
2007-02-17,20
2007-02-24,21
2007-03-03,21
2007-03-10,22
2007-03-17,21
2007-03-24,21
2007-03-31,22
2007-04-07,22
2007-04-14,22
2007-04-21,22
2007-04-28,23
2007-05-05,23
2007-05-12,22
2007-05-19,21
2007-05-26,20
2007-06-02,20
2007-06-09,21
2007-06-16,21
2007-06-23,21
2007-06-30,21
2007-07-07,19
2007-07-14,22
2007-07-21,21
2007-07-28,23
2007-08-04,22
2007-08-11,22
2007-08-18,22
2007-08-25,21
2007-09-01,21
2007-09-08,20
2007-09-15,21
2007-09-22,23
2007-09-29,24
2007-10-06,24
2007-10-13,23
2007-10-20,24
2007-10-27,24
2007-11-03,24
2007-11-10,25
2007-11-17,25
2007-11-24,19
2007-12-01,24
2007-12-08,24
2007-12-15,23
2007-12-22,20
2007-12-29,20
2008-01-05,23
2008-01-12,27
2008-01-19,26
2008-01-26,27
2008-02-02,26
2008-02-09,26
2008-02-16,24
2008-02-23,25
2008-03-01,27
2008-03-08,25
2008-03-15,25
2008-03-22,24
2008-03-29,25
2008-04-05,24
2008-04-12,24
2008-04-19,25
2008-04-26,25
2008-05-03,23
2008-05-10,23
2008-05-17,22
2008-05-24,22
2008-05-31,21
2008-06-07,22
2008-06-14,22
2008-06-21,22
2008-06-28,23
2008-07-05,21
2008-07-12,25
2008-07-19,24
2008-07-26,24
2008-08-02,25
2008-08-09,23
2008-08-16,22
2008-08-23,23
2008-08-30,24
2008-09-06,24
2008-09-13,26
2008-09-20,31
2008-09-27,35
2008-10-04,34
2008-10-11,38
2008-10-18,33
2008-10-25,29
2008-11-01,29
2008-11-08,28
2008-11-15,32
2008-11-22,30
2008-11-29,26
2008-12-06,30
2008-12-13,28
2008-12-20,25
2008-12-27,20
2009-01-03,25
2009-01-10,29
2009-01-17,28
2009-01-24,28
2009-01-31,28
2009-02-07,30
2009-02-14,30
2009-02-21,32
2009-02-28,32
2009-03-07,30
2009-03-14,28
2009-03-21,28
2009-03-28,29
2009-04-04,27
2009-04-11,27
2009-04-18,28
2009-04-25,28
2009-05-02,26
2009-05-09,26
2009-05-16,25
2009-05-23,25
2009-05-30,24
2009-06-06,25
2009-06-13,26
2009-06-20,25
2009-06-27,26
2009-07-04,27
2009-07-11,27
2009-07-18,27
2009-07-25,26
2009-08-01,25
2009-08-08,26
2009-08-15,27
2009-08-22,25
2009-08-29,29
2009-09-05,25
2009-09-12,25
2009-09-19,25
2009-09-26,26
2009-10-03,25
2009-10-10,25
2009-10-17,27
2009-10-24,26
2009-10-31,25
2009-11-07,25
2009-11-14,25
2009-11-21,27
2009-11-28,25
2009-12-05,28
2009-12-12,25
2009-12-19,24
2009-12-26,17
2010-01-02,21
2010-01-09,26
2010-01-16,26
2010-01-23,26
2010-01-30,31
2010-02-06,32
2010-02-13,29
2010-02-20,29
2010-02-27,29
2010-03-06,28
2010-03-13,27
2010-03-20,26
2010-03-27,29
2010-04-03,26
2010-04-10,26
2010-04-17,28
2010-04-24,26
2010-05-01,29
2010-05-08,28
2010-05-15,26
2010-05-22,24
2010-05-29,24
2010-06-05,23
2010-06-12,24
2010-06-19,23
2010-06-26,23
2010-07-03,23
2010-07-10,21
2010-07-17,22
2010-07-24,22
2010-07-31,22
2010-08-07,21
2010-08-14,21
2010-08-21,20
2010-08-28,20
2010-09-04,20
2010-09-11,20
2010-09-18,21
2010-09-25,22
2010-10-02,21
2010-10-09,22
2010-10-16,21
2010-10-23,22
2010-10-30,22
2010-11-06,24
2010-11-13,24
2010-11-20,23
2010-11-27,17
2010-12-04,22
2010-12-11,22
2010-12-18,19
2010-12-25,14
2011-01-01,15
2011-01-08,25
2011-01-15,22
2011-01-22,24
2011-01-29,25
2011-02-05,23
2011-02-12,23
2011-02-19,25
2011-02-26,23
2011-03-05,23
2011-03-12,23
2011-03-19,22
2011-03-26,22
2011-04-02,22
2011-04-09,26
2011-04-16,32
2011-04-23,28
2011-04-30,24
2011-05-07,23
2011-05-14,22
2011-05-21,26
2011-05-28,21
2011-06-04,23
2011-06-11,22
2011-06-18,22
2011-06-25,22
2011-07-02,26
2011-07-09,26
2011-07-16,47
2011-07-23,48
2011-07-30,100
2011-08-06,97
2011-08-13,38
2011-08-20,28
2011-08-27,26
2011-09-03,33
2011-09-10,37
2011-09-17,32
2011-09-24,31
2011-10-01,31
2011-10-08,28
2011-10-15,26
2011-10-22,27
2011-10-29,28
2011-11-05,26
2011-11-12,26
2011-11-19,26
2011-11-26,23
2011-12-03,26
2011-12-10,26
2011-12-17,24
2011-12-24,19
2011-12-31,19
2012-01-07,24
2012-01-14,25
2012-01-21,26
2012-01-28,31
2012-02-04,27
2012-02-11,25
2012-02-18,25
2012-02-25,24
2012-03-03,23
2012-03-10,23
2012-03-17,21
2012-03-24,22
2012-03-31,21
2012-04-07,21
2012-04-14,22
2012-04-21,23
2012-04-28,25
2012-05-05,22
2012-05-12,21
2012-05-19,24
2012-05-26,21
2012-06-02,19
2012-06-09,20
2012-06-16,20
2012-06-23,19
2012-06-30,20
2012-07-07,17
2012-07-14,20
2012-07-21,20
2012-07-28,20
2012-08-04,19
2012-08-11,19
2012-08-18,21
2012-08-25,20
2012-09-01,25
2012-09-08,32
2012-09-15,25
2012-09-22,25
2012-09-29,24
2012-10-06,27
2012-10-13,24
2012-10-20,26
2012-10-27,26
2012-11-03,22
2012-11-10,36
2012-11-17,25
2012-11-24,18
2012-12-01,24
2012-12-08,24
2012-12-15,21
