date,debt
2004-01-10,35
2004-01-17,36
2004-01-24,36
2004-01-31,37
2004-02-07,37
2004-02-14,37
2004-02-21,35
2004-02-28,35
2004-03-06,34
2004-03-13,34
2004-03-20,33
2004-03-27,30
2004-04-03,33
2004-04-10,31
2004-04-17,33
2004-04-24,33
2004-05-01,34
2004-05-08,31
2004-05-15,31
2004-05-22,31
2004-05-29,31
2004-06-05,29
2004-06-12,32
2004-06-19,30
2004-06-26,30
2004-07-03,31
2004-07-10,29
2004-07-17,31
2004-07-24,33
2004-07-31,33
2004-08-07,32
2004-08-14,31
2004-08-21,30
2004-08-28,31
2004-09-04,29
2004-09-11,30
2004-09-18,31
2004-09-25,32
2004-10-02,33
2004-10-09,33
2004-10-16,34
2004-10-23,34
2004-10-30,33
2004-11-06,37
2004-11-13,33
2004-11-20,36
2004-11-27,29
2004-12-04,34
2004-12-11,33
2004-12-18,29
2004-12-25,22
2005-01-01,24
2005-01-08,33
2005-01-15,33
2005-01-22,32
2005-01-29,33
2005-02-05,33
2005-02-12,33
2005-02-19,31
2005-02-26,32
2005-03-05,32
2005-03-12,32
2005-03-19,32
2005-03-26,30
2005-04-02,30
2005-04-09,30
2005-04-16,33
2005-04-23,33
2005-04-30,32
2005-05-07,32
2005-05-14,30
2005-05-21,30
2005-05-28,28
2005-06-04,27
2005-06-11,29
2005-06-18,32
2005-06-25,29
2005-07-02,29
2005-07-09,28
2005-07-16,29
2005-07-23,30
2005-07-30,30
2005-08-06,29
2005-08-13,30
2005-08-20,29
2005-08-27,27
2005-09-03,28
2005-09-10,26
2005-09-17,30
2005-09-24,31
2005-10-01,31
2005-10-08,31
2005-10-15,30
2005-10-22,29
2005-10-29,29
2005-11-05,30
2005-11-12,28
2005-11-19,29
2005-11-26,25
2005-12-03,30
2005-12-10,30
2005-12-17,28
2005-12-24,23
2005-12-31,23
2006-01-07,31
2006-01-14,32
2006-01-21,32
2006-01-28,32
2006-02-04,33
2006-02-11,33
2006-02-18,31
2006-02-25,32
2006-03-04,33
2006-03-11,32
2006-03-18,33
2006-03-25,34
2006-04-01,33
2006-04-08,33
2006-04-15,32
2006-04-22,33
2006-04-29,33
2006-05-06,32
2006-05-13,31
2006-05-20,30
2006-05-27,29
2006-06-03,27
2006-06-10,33
2006-06-17,33
2006-06-24,31
2006-07-01,30
2006-07-08,29
2006-07-15,36
2006-07-22,35
2006-07-29,34
2006-08-05,32
2006-08-12,32
2006-08-19,33
2006-08-26,28
2006-09-02,27
2006-09-09,28
2006-09-16,32
2006-09-23,34
2006-09-30,36
2006-10-07,34
2006-10-14,33
2006-10-21,33
2006-10-28,32
2006-11-04,32
2006-11-11,33
2006-11-18,32
2006-11-25,28
2006-12-02,31
2006-12-09,32
2006-12-16,29
2006-12-23,25
2006-12-30,24
2007-01-06,30
2007-01-13,34
2007-01-20,32
2007-01-27,34
2007-02-03,31
2007-02-10,30
2007-02-17,30
2007-02-24,32
2007-03-03,30
2007-03-10,31
2007-03-17,31
2007-03-24,30
2007-03-31,31
2007-04-07,30
2007-04-14,30
2007-04-21,30
2007-04-28,31
2007-05-05,32
2007-05-12,29
2007-05-19,29
2007-05-26,29
2007-06-02,27
2007-06-09,29
2007-06-16,28
2007-06-23,27
2007-06-30,28
2007-07-07,26
2007-07-14,29
2007-07-21,29
2007-07-28,30
2007-08-04,30
2007-08-11,30
2007-08-18,32
2007-08-25,29
2007-09-01,28
2007-09-08,26
2007-09-15,28
2007-09-22,30
2007-09-29,32
2007-10-06,32
2007-10-13,31
2007-10-20,32
2007-10-27,31
2007-11-03,31
2007-11-10,31
2007-11-17,30
2007-11-24,25
2007-12-01,30
2007-12-08,30
2007-12-15,28
2007-12-22,24
2007-12-29,21
2008-01-05,28
2008-01-12,33
2008-01-19,33
2008-01-26,33
2008-02-02,33
2008-02-09,33
2008-02-16,31
2008-02-23,31
2008-03-01,33
2008-03-08,32
2008-03-15,31
2008-03-22,30
2008-03-29,30
2008-04-05,31
2008-04-12,30
2008-04-19,31
2008-04-26,31
2008-05-03,30
2008-05-10,29
2008-05-17,28
2008-05-24,28
2008-05-31,26
2008-06-07,27
2008-06-14,27
2008-06-21,27
2008-06-28,28
2008-07-05,26
2008-07-12,30
2008-07-19,30
2008-07-26,30
2008-08-02,31
2008-08-09,29
2008-08-16,28
2008-08-23,29
2008-08-30,29
2008-09-06,29
2008-09-13,32
2008-09-20,37
2008-09-27,41
2008-10-04,40
2008-10-11,46
2008-10-18,40
2008-10-25,36
2008-11-01,35
2008-11-08,34
2008-11-15,38
2008-11-22,36
2008-11-29,32
2008-12-06,35
2008-12-13,34
2008-12-20,30
2008-12-27,22
2009-01-03,28
2009-01-10,35
2009-01-17,34
2009-01-24,34
2009-01-31,35
2009-02-07,35
2009-02-14,35
2009-02-21,37
2009-02-28,38
2009-03-07,36
2009-03-14,34
2009-03-21,33
2009-03-28,35
2009-04-04,35
2009-04-11,32
2009-04-18,33
2009-04-25,33
2009-05-02,33
2009-05-09,31
2009-05-16,30
2009-05-23,30
2009-05-30,29
2009-06-06,30
2009-06-13,30
2009-06-20,29
2009-06-27,31
2009-07-04,32
2009-07-11,33
2009-07-18,32
2009-07-25,31
2009-08-01,31
2009-08-08,31
2009-08-15,32
2009-08-22,30
2009-08-29,32
2009-09-05,29
2009-09-12,29
2009-09-19,30
2009-09-26,30
2009-10-03,30
2009-10-10,30
2009-10-17,32
2009-10-24,31
2009-10-31,30
2009-11-07,30
2009-11-14,30
2009-11-21,33
2009-11-28,32
2009-12-05,35
2009-12-12,32
2009-12-19,29
2009-12-26,19
2010-01-02,23
2010-01-09,30
2010-01-16,32
2010-01-23,32
2010-01-30,35
2010-02-06,38
2010-02-13,36
2010-02-20,35
2010-02-27,34
2010-03-06,34
2010-03-13,32
2010-03-20,31
2010-03-27,35
2010-04-03,30
2010-04-10,31
2010-04-17,33
2010-04-24,32
2010-05-01,37
2010-05-08,36
2010-05-15,34
2010-05-22,31
2010-05-29,30
2010-06-05,28
2010-06-12,31
2010-06-19,28
2010-06-26,28
2010-07-03,29
2010-07-10,27
2010-07-17,29
2010-07-24,29
2010-07-31,29
2010-08-07,27
2010-08-14,28
2010-08-21,28
2010-08-28,27
2010-09-04,26
2010-09-11,26
2010-09-18,27
2010-09-25,28
2010-10-02,28
2010-10-09,29
2010-10-16,28
2010-10-23,29
2010-10-30,28
2010-11-06,30
2010-11-13,31
2010-11-20,31
2010-11-27,25
2010-12-04,29
2010-12-11,28
2010-12-18,25
2010-12-25,19
2011-01-01,19
2011-01-08,29
2011-01-15,27
2011-01-22,29
2011-01-29,30
2011-02-05,28
2011-02-12,28
2011-02-19,29
2011-02-26,27
2011-03-05,27
2011-03-12,28
2011-03-19,26
2011-03-26,27
2011-04-02,28
2011-04-09,30
2011-04-16,34
2011-04-23,32
2011-04-30,27
2011-05-07,27
2011-05-14,27
2011-05-21,31
2011-05-28,26
2011-06-04,26
2011-06-11,26
2011-06-18,27
2011-06-25,28
2011-07-02,30
2011-07-09,30
2011-07-16,50
2011-07-23,51
2011-07-30,99
2011-08-06,100
2011-08-13,46
2011-08-20,33
2011-08-27,30
2011-09-03,36
2011-09-10,39
2011-09-17,38
2011-09-24,37
2011-10-01,37
2011-10-08,34
2011-10-15,33
2011-10-22,33
2011-10-29,34
2011-11-05,34
2011-11-12,34
2011-11-19,34
2011-11-26,35
2011-12-03,35
2011-12-10,34
2011-12-17,31
2011-12-24,24
2011-12-31,24
2012-01-07,29
2012-01-14,31
2012-01-21,32
2012-01-28,36
2012-02-04,32
2012-02-11,31
2012-02-18,31
2012-02-25,31
2012-03-03,28
2012-03-10,29
2012-03-17,26
2012-03-24,27
2012-03-31,26
2012-04-07,25
2012-04-14,26
2012-04-21,28
2012-04-28,29
2012-05-05,27
2012-05-12,26
2012-05-19,29
2012-05-26,26
2012-06-02,24
2012-06-09,24
2012-06-16,25
2012-06-23,25
2012-06-30,25
2012-07-07,22
2012-07-14,24
2012-07-21,25
2012-07-28,25
2012-08-04,24
2012-08-11,24
2012-08-18,26
2012-08-25,25
2012-09-01,28
2012-09-08,34
2012-09-15,29
2012-09-22,29
2012-09-29,28
2012-10-06,31
2012-10-13,28
2012-10-20,30
2012-10-27,30
2012-11-03,26
2012-11-10,37
2012-11-17,29
2012-11-24,23
2012-12-01,28
2012-12-08,28
2012-12-15,25
2012-12-22,20
2012-12-29,17
2013-01-05,27
2013-01-12,28
2013-01-19,30
2013-01-26,27
2013-02-02,27
2013-02-09,26
2013-02-16,26
2013-02-23,25
2013-03-02,27
2013-03-09,26
2013-03-16,25
2013-03-23,25
2013-03-30,24
2013-04-06,23
2013-04-13,22
2013-04-20,25
2013-04-27,25
2013-05-04,24
2013-05-11,23
2013-05-18,23
2013-05-25,21
2013-06-01,
