date,debt
2004-01-10,0
2004-01-17,0
2004-01-24,0
2004-01-31,3
2004-02-07,3
2004-02-14,2
2004-02-21,2
2004-02-28,3
2004-03-06,2
2004-03-13,2
2004-03-20,2
2004-03-27,3
2004-04-03,4
2004-04-10,2
2004-04-17,4
2004-04-24,3
2004-05-01,3
2004-05-08,4
2004-05-15,2
2004-05-22,3
2004-05-29,5
2004-06-05,2
2004-06-12,3
2004-06-19,2
2004-06-26,3
2004-07-03,2
2004-07-10,3
2004-07-17,4
2004-07-24,2
2004-07-31,2
2004-08-07,2
2004-08-14,3
2004-08-21,4
2004-08-28,2
2004-09-04,3
2004-09-11,2
2004-09-18,2
2004-09-25,3
2004-10-02,2
2004-10-09,3
2004-10-16,3
2004-10-23,3
2004-10-30,3
2004-11-06,3
2004-11-13,4
2004-11-20,4
2004-11-27,2
2004-12-04,2
2004-12-11,4
2004-12-18,3
2004-12-25,3
2005-01-01,3
2005-01-08,3
2005-01-15,3
2005-01-22,3
2005-01-29,2
2005-02-05,3
2005-02-12,2
2005-02-19,3
2005-02-26,4
2005-03-05,3
2005-03-12,4
2005-03-19,2
2005-03-26,2
2005-04-02,2
2005-04-09,4
2005-04-16,3
2005-04-23,4
2005-04-30,4
2005-05-07,4
2005-05-14,4
2005-05-21,3
2005-05-28,3
2005-06-04,3
2005-06-11,3
2005-06-18,3
2005-06-25,3
2005-07-02,2
2005-07-09,2
2005-07-16,2
2005-07-23,4
2005-07-30,4
2005-08-06,3
2005-08-13,4
2005-08-20,3
2005-08-27,3
2005-09-03,4
2005-09-10,2
2005-09-17,4
2005-09-24,2
2005-10-01,3
2005-10-08,3
2005-10-15,2
2005-10-22,3
2005-10-29,3
2005-11-05,3
2005-11-12,4
2005-11-19,3
2005-11-26,2
2005-12-03,2
2005-12-10,2
2005-12-17,3
2005-12-24,2
2005-12-31,2
2006-01-07,3
2006-01-14,3
2006-01-21,2
2006-01-28,3
2006-02-04,2
2006-02-11,2
2006-02-18,2
2006-02-25,2
2006-03-04,2
2006-03-11,3
2006-03-18,4
2006-03-25,3
2006-04-01,3
2006-04-08,3
2006-04-15,4
2006-04-22,3
2006-04-29,2
2006-05-06,2
2006-05-13,3
2006-05-20,3
2006-05-27,2
2006-06-03,2
2006-06-10,3
2006-06-17,2
2006-06-24,3
2006-07-01,2
2006-07-08,2
2006-07-15,4
2006-07-22,3
2006-07-29,2
2006-08-05,3
2006-08-12,3
2006-08-19,3
2006-08-26,2
2006-09-02,2
2006-09-09,2
2006-09-16,2
2006-09-23,2
2006-09-30,2
2006-10-07,2
2006-10-14,2
2006-10-21,2
2006-10-28,3
2006-11-04,2
2006-11-11,2
2006-11-18,2
2006-11-25,2
2006-12-02,2
2006-12-09,4
2006-12-16,4
2006-12-23,4
2006-12-30,2
2007-01-06,3
2007-01-13,4
2007-01-20,4
2007-01-27,4
2007-02-03,4
2007-02-10,6
2007-02-17,8
2007-02-24,10
2007-03-03,17
2007-03-10,30
2007-03-17,72
2007-03-24,38
2007-03-31,29
2007-04-07,23
2007-04-14,21
2007-04-21,14
2007-04-28,14
2007-05-05,11
2007-05-12,11
2007-05-19,9
2007-05-26,8
2007-06-02,8
2007-06-09,7
2007-06-16,9
2007-06-23,10
2007-06-30,16
2007-07-07,12
2007-07-14,19
2007-07-21,23
2007-07-28,33
2007-08-04,45
2007-08-11,96
2007-08-18,100
2007-08-25,69
2007-09-01,56
2007-09-08,43
2007-09-15,35
2007-09-22,41
2007-09-29,28
2007-10-06,27
2007-10-13,26
2007-10-20,24
2007-10-27,26
2007-11-03,29
2007-11-10,44
2007-11-17,40
2007-11-24,37
2007-12-01,39
2007-12-08,49
2007-12-15,41
2007-12-22,35
2007-12-29,25
2008-01-05,26
2008-01-12,36
2008-01-19,47
2008-01-26,60
2008-02-02,53
2008-02-09,34
2008-02-16,38
2008-02-23,33
2008-03-01,30
2008-03-08,36
2008-03-15,36
2008-03-22,49
2008-03-29,35
2008-04-05,40
2008-04-12,32
2008-04-19,31
2008-04-26,30
2008-05-03,24
2008-05-10,24
2008-05-17,23
2008-05-24,18
2008-05-31,19
2008-06-07,17
2008-06-14,17
2008-06-21,17
2008-06-28,17
2008-07-05,15
2008-07-12,17
2008-07-19,24
2008-07-26,19
2008-08-02,16
2008-08-09,15
2008-08-16,13
2008-08-23,13
2008-08-30,13
2008-09-06,14
2008-09-13,18
2008-09-20,72
2008-09-27,64
2008-10-04,80
2008-10-11,76
2008-10-18,54
2008-10-25,40
2008-11-01,32
2008-11-08,27
2008-11-15,25
